,team_name_abbr,opp_name_abbr,date,home,win,game_no,team_score,opp_score,running_wins,rolling_20,rolling_10,rolling_15
0,ATL,BRK,2024-10-23,True,True,1,120,116,1,1.0,1.0,1.0
1,ATL,CHO,2024-10-25,True,True,2,125,120,2,1.0,1.0,1.0
2,ATL,OKC,2024-10-27,False,False,3,104,128,2,0.67,0.67,0.67
3,ATL,WAS,2024-10-28,True,False,4,119,121,2,0.5,0.5,0.5
4,ATL,WAS,2024-10-30,False,False,5,120,133,2,0.4,0.4,0.4
5,ATL,SAC,2024-11-01,True,False,6,115,123,2,0.33,0.33,0.33
6,ATL,NOP,2024-11-03,False,True,7,126,111,3,0.43,0.43,0.43
7,ATL,BOS,2024-11-04,True,False,8,93,123,3,0.38,0.38,0.38
8,ATL,NYK,2024-11-06,True,True,9,121,116,4,0.44,0.44,0.44
9,ATL,DET,2024-11-08,False,False,10,121,122,4,0.4,0.4,0.4
10,ATL,CHI,2024-11-09,True,False,11,113,125,4,0.36,0.3,0.36
11,ATL,BOS,2024-11-12,False,True,12,117,116,5,0.42,0.3,0.42
12,ATL,WAS,2024-11-15,True,True,13,129,117,6,0.46,0.4,0.46
13,ATL,POR,2024-11-17,False,False,14,110,114,6,0.43,0.4,0.43
14,ATL,SAC,2024-11-18,False,True,15,109,108,7,0.47,0.5,0.47
15,ATL,GSW,2024-11-20,False,False,16,97,120,7,0.44,0.5,0.4
16,ATL,CHI,2024-11-22,False,False,17,122,136,7,0.41,0.4,0.33
17,ATL,DAL,2024-11-25,True,False,18,119,129,7,0.39,0.4,0.33
18,ATL,CLE,2024-11-27,False,True,19,135,124,8,0.42,0.4,0.4
19,ATL,CLE,2024-11-29,True,True,20,117,101,9,0.45,0.5,0.47
20,ATL,CHO,2024-11-30,False,True,21,107,104,10,0.45,0.6,0.53
21,ATL,NOP,2024-12-02,True,True,22,124,112,11,0.45,0.6,0.53
22,ATL,MIL,2024-12-04,False,True,23,119,104,12,0.5,0.6,0.6
23,ATL,LAL,2024-12-06,True,True,24,134,132,13,0.55,0.7,0.6
24,ATL,DEN,2024-12-08,True,False,25,111,141,13,0.55,0.6,0.6
25,ATL,NYK,2024-12-11,False,True,26,108,100,14,0.6,0.7,0.67
26,ATL,MIL,2024-12-14,False,False,27,102,110,14,0.55,0.7,0.6
27,ATL,SAS,2024-12-19,False,False,28,126,133,14,0.55,0.7,0.53
28,ATL,MEM,2024-12-21,True,False,29,112,128,14,0.5,0.6,0.53
29,ATL,MIN,2024-12-23,True,True,30,117,104,15,0.55,0.6,0.53
30,ATL,CHI,2024-12-26,True,True,31,141,133,16,0.6,0.6,0.6
31,ATL,MIA,2024-12-28,True,True,32,120,110,17,0.6,0.6,0.67
32,ATL,TOR,2024-12-29,False,True,33,136,107,18,0.6,0.6,0.73
33,ATL,DEN,2025-01-01,False,False,34,120,139,18,0.6,0.5,0.67
34,ATL,LAL,2025-01-03,False,False,35,102,119,18,0.55,0.5,0.6
35,ATL,LAC,2025-01-04,False,False,36,105,131,18,0.55,0.4,0.53
36,ATL,UTA,2025-01-07,False,True,37,124,121,19,0.6,0.5,0.53
37,ATL,PHO,2025-01-09,False,False,38,115,123,19,0.6,0.5,0.47
38,ATL,PHO,2025-01-14,True,True,39,122,117,20,0.6,0.6,0.47
39,ATL,CHI,2025-01-15,False,True,40,110,94,21,0.6,0.6,0.53
40,ATL,BOS,2025-01-18,False,True,41,119,115,22,0.6,0.6,0.53
41,ATL,NYK,2025-01-20,False,False,42,110,119,22,0.55,0.5,0.53
42,ATL,DET,2025-01-22,True,False,43,104,114,22,0.5,0.4,0.53
43,ATL,TOR,2025-01-23,True,False,44,119,122,22,0.45,0.4,0.53
44,ATL,TOR,2025-01-25,True,False,45,94,117,22,0.45,0.4,0.47
45,ATL,MIN,2025-01-27,False,False,46,92,100,22,0.4,0.4,0.4
46,ATL,HOU,2025-01-28,True,False,47,96,100,22,0.4,0.3,0.33
47,ATL,CLE,2025-01-30,False,False,48,115,137,22,0.4,0.3,0.27
48,ATL,IND,2025-02-01,False,False,49,127,132,22,0.4,0.2,0.27
49,ATL,DET,2025-02-03,False,True,50,132,130,23,0.4,0.2,0.33
50,ATL,SAS,2025-02-05,True,False,51,125,126,23,0.35,0.1,0.33
51,ATL,MIL,2025-02-07,True,True,52,115,110,24,0.35,0.2,0.33
52,ATL,WAS,2025-02-08,False,True,53,125,111,25,0.35,0.3,0.4
53,ATL,ORL,2025-02-10,False,True,54,112,106,26,0.4,0.4,0.4
54,ATL,NYK,2025-02-12,False,False,55,148,149,26,0.4,0.4,0.33
55,ATL,ORL,2025-02-20,True,False,56,108,114,26,0.4,0.4,0.27
56,ATL,DET,2025-02-23,True,False,57,143,148,26,0.35,0.4,0.27
57,ATL,MIA,2025-02-24,True,True,58,98,86,27,0.4,0.5,0.33
58,ATL,MIA,2025-02-26,False,False,59,109,131,27,0.35,0.5,0.33
59,ATL,OKC,2025-02-28,True,False,60,119,135,27,0.3,0.4,0.33
60,ATL,MEM,2025-03-03,False,True,61,132,130,28,0.3,0.5,0.4
61,ATL,MIL,2025-03-04,True,False,62,121,127,28,0.3,0.4,0.4
62,ATL,IND,2025-03-06,True,True,63,124,118,29,0.35,0.4,0.47
63,ATL,IND,2025-03-08,True,True,64,120,118,30,0.4,0.4,0.53
64,ATL,PHI,2025-03-10,True,True,65,132,123,31,0.45,0.5,0.53
65,ATL,CHO,2025-03-12,True,True,66,123,110,32,0.5,0.6,0.6
66,ATL,LAC,2025-03-14,True,False,67,98,121,32,0.5,0.6,0.53
67,ATL,BRK,2025-03-16,False,False,68,114,122,32,0.5,0.5,0.47
68,ATL,CHO,2025-03-18,False,True,69,134,102,33,0.55,0.6,0.47
69,ATL,GSW,2025-03-22,True,True,70,124,115,34,0.55,0.7,0.53
70,ATL,PHI,2025-03-23,True,True,71,132,119,35,0.6,0.7,0.6
71,ATL,HOU,2025-03-25,False,False,72,114,121,35,0.55,0.7,0.6
72,ATL,MIA,2025-03-27,False,False,73,112,122,35,0.5,0.6,0.53
73,ATL,MIL,2025-03-30,False,True,74,145,124,36,0.5,0.6,0.6
74,ATL,POR,2025-04-01,True,False,75,113,127,36,0.5,0.5,0.6
75,ATL,DAL,2025-04-02,False,False,76,118,120,36,0.5,0.4,0.53
76,ATL,NYK,2025-04-05,True,False,77,105,121,36,0.5,0.4,0.53
77,ATL,UTA,2025-04-06,True,True,78,147,134,37,0.5,0.5,0.53
78,BOS,NYK,2024-10-22,True,True,1,132,109,1,1.0,1.0,1.0
79,BOS,WAS,2024-10-24,False,True,2,122,102,2,1.0,1.0,1.0
80,BOS,DET,2024-10-26,False,True,3,124,118,3,1.0,1.0,1.0
81,BOS,MIL,2024-10-28,True,True,4,119,108,4,1.0,1.0,1.0
82,BOS,IND,2024-10-30,False,False,5,132,135,4,0.8,0.8,0.8
83,BOS,CHO,2024-11-01,False,True,6,124,109,5,0.83,0.83,0.83
84,BOS,CHO,2024-11-02,False,True,7,113,103,6,0.86,0.86,0.86
85,BOS,ATL,2024-11-04,False,True,8,123,93,7,0.88,0.88,0.88
86,BOS,GSW,2024-11-06,True,False,9,112,118,7,0.78,0.78,0.78
87,BOS,BRK,2024-11-08,True,True,10,108,104,8,0.8,0.8,0.8
88,BOS,MIL,2024-11-10,False,True,11,113,107,9,0.82,0.8,0.82
89,BOS,ATL,2024-11-12,True,False,12,116,117,9,0.75,0.7,0.75
90,BOS,BRK,2024-11-13,False,True,13,139,114,10,0.77,0.7,0.77
91,BOS,TOR,2024-11-16,True,True,14,126,123,11,0.79,0.7,0.79
92,BOS,CLE,2024-11-19,True,True,15,120,117,12,0.8,0.8,0.8
93,BOS,WAS,2024-11-22,False,True,16,108,96,13,0.81,0.8,0.8
94,BOS,MIN,2024-11-24,True,True,17,107,105,14,0.82,0.8,0.8
95,BOS,LAC,2024-11-25,True,True,18,126,94,15,0.83,0.8,0.8
96,BOS,CHI,2024-11-29,False,True,19,138,129,16,0.84,0.9,0.8
97,BOS,CLE,2024-12-01,False,False,20,111,115,16,0.8,0.8,0.8
98,BOS,MIA,2024-12-02,True,True,21,108,89,17,0.8,0.8,0.8
99,BOS,DET,2024-12-04,True,True,22,130,120,18,0.8,0.9,0.8
100,BOS,MIL,2024-12-06,True,True,23,111,105,19,0.8,0.9,0.8
101,BOS,MEM,2024-12-07,True,False,24,121,127,19,0.75,0.8,0.8
102,BOS,DET,2024-12-12,True,True,25,123,99,20,0.8,0.8,0.8
103,BOS,WAS,2024-12-15,False,True,26,112,98,21,0.8,0.8,0.8
104,BOS,CHI,2024-12-19,True,False,27,108,117,21,0.75,0.7,0.8
105,BOS,CHI,2024-12-21,False,True,28,123,98,22,0.75,0.7,0.8
106,BOS,ORL,2024-12-23,False,False,29,104,108,22,0.75,0.6,0.73
107,BOS,PHI,2024-12-25,True,False,30,114,118,22,0.7,0.6,0.67
108,BOS,IND,2024-12-27,True,True,31,142,105,23,0.7,0.6,0.67
109,BOS,IND,2024-12-29,True,False,32,114,123,23,0.7,0.5,0.6
110,BOS,TOR,2024-12-31,True,True,33,125,71,24,0.7,0.5,0.6
111,BOS,MIN,2025-01-02,False,True,34,118,115,25,0.7,0.6,0.6
112,BOS,HOU,2025-01-03,False,True,35,109,86,26,0.7,0.6,0.67
113,BOS,OKC,2025-01-05,False,False,36,92,105,26,0.65,0.5,0.6
114,BOS,DEN,2025-01-07,False,True,37,118,106,27,0.65,0.6,0.6
115,BOS,SAC,2025-01-10,True,False,38,97,114,27,0.6,0.5,0.53
116,BOS,NOP,2025-01-12,True,True,39,120,119,28,0.6,0.6,0.6
117,BOS,TOR,2025-01-15,False,False,40,97,110,28,0.6,0.6,0.53
118,BOS,ORL,2025-01-17,True,True,41,121,94,29,0.6,0.6,0.53
119,BOS,ATL,2025-01-18,True,False,42,115,119,29,0.55,0.6,0.53
120,BOS,GSW,2025-01-20,False,True,43,125,85,30,0.55,0.6,0.53
121,BOS,LAC,2025-01-22,False,True,44,117,113,31,0.6,0.6,0.6
122,BOS,LAL,2025-01-23,False,False,45,96,117,31,0.55,0.5,0.6
123,BOS,DAL,2025-01-25,False,True,46,122,107,32,0.55,0.6,0.6
124,BOS,HOU,2025-01-27,True,False,47,112,114,32,0.55,0.5,0.6
125,BOS,CHI,2025-01-29,True,True,48,122,100,33,0.55,0.6,0.6
126,BOS,NOP,2025-01-31,False,True,49,118,116,34,0.6,0.6,0.6
127,BOS,PHI,2025-02-02,False,True,50,118,110,35,0.65,0.7,0.6
128,BOS,CLE,2025-02-04,False,True,51,112,105,36,0.65,0.7,0.67
129,BOS,DAL,2025-02-06,True,False,52,120,127,36,0.65,0.7,0.6
130,BOS,NYK,2025-02-08,False,True,53,131,104,37,0.65,0.7,0.67
131,BOS,MIA,2025-02-10,False,True,54,103,85,38,0.65,0.7,0.67
132,BOS,SAS,2025-02-12,True,True,55,116,103,39,0.65,0.8,0.73
133,BOS,PHI,2025-02-20,False,True,56,124,104,40,0.7,0.8,0.73
134,BOS,NYK,2025-02-23,True,True,57,118,105,41,0.7,0.9,0.8
135,BOS,TOR,2025-02-25,False,True,58,111,101,42,0.75,0.9,0.8
136,BOS,DET,2025-02-26,False,False,59,97,117,42,0.7,0.8,0.73
137,BOS,CLE,2025-02-28,True,False,60,116,123,42,0.7,0.7,0.73
138,BOS,DEN,2025-03-02,True,True,61,110,103,43,0.7,0.7,0.73
139,BOS,POR,2025-03-05,True,True,62,128,118,44,0.75,0.8,0.8
140,BOS,PHI,2025-03-06,True,True,63,123,105,45,0.75,0.8,0.8
141,BOS,LAL,2025-03-08,True,True,64,111,101,46,0.75,0.8,0.8
142,BOS,UTA,2025-03-10,True,True,65,114,108,47,0.8,0.8,0.8
143,BOS,OKC,2025-03-12,True,False,66,112,118,47,0.75,0.7,0.73
144,BOS,MIA,2025-03-14,False,True,67,103,91,48,0.8,0.7,0.8
145,BOS,BRK,2025-03-15,False,True,68,115,113,49,0.8,0.7,0.8
146,BOS,BRK,2025-03-18,True,True,69,104,96,50,0.8,0.8,0.8
147,BOS,UTA,2025-03-21,False,True,70,121,99,51,0.8,0.9,0.8
148,BOS,POR,2025-03-23,False,True,71,129,116,52,0.8,0.9,0.8
149,BOS,SAC,2025-03-24,False,True,72,113,95,53,0.85,0.9,0.8
150,BOS,PHO,2025-03-26,False,True,73,132,102,54,0.85,0.9,0.8
151,BOS,SAS,2025-03-29,False,True,74,121,111,55,0.85,0.9,0.87
152,BOS,MEM,2025-03-31,False,True,75,117,103,56,0.85,0.9,0.93
153,BOS,MIA,2025-04-02,True,False,76,103,124,56,0.8,0.9,0.87
154,BOS,PHO,2025-04-04,True,True,77,123,103,57,0.8,0.9,0.87
155,BOS,WAS,2025-04-06,True,True,78,124,90,58,0.8,0.9,0.87
156,BRK,ATL,2024-10-23,False,False,1,116,120,0,0.0,0.0,0.0
157,BRK,ORL,2024-10-25,False,False,2,101,116,0,0.0,0.0,0.0
158,BRK,MIL,2024-10-27,True,True,3,115,102,1,0.33,0.33,0.33
159,BRK,DEN,2024-10-29,True,False,4,139,144,1,0.25,0.25,0.25
160,BRK,MEM,2024-10-30,False,True,5,119,106,2,0.4,0.4,0.4
161,BRK,CHI,2024-11-01,True,True,6,120,112,3,0.5,0.5,0.5
162,BRK,DET,2024-11-03,True,False,7,92,106,3,0.43,0.43,0.43
163,BRK,MEM,2024-11-04,True,True,8,106,104,4,0.5,0.5,0.5
164,BRK,BOS,2024-11-08,False,False,9,104,108,4,0.44,0.44,0.44
165,BRK,CLE,2024-11-09,False,False,10,100,105,4,0.4,0.4,0.4
166,BRK,NOP,2024-11-11,False,True,11,107,105,5,0.45,0.5,0.45
167,BRK,BOS,2024-11-13,True,False,12,114,139,5,0.42,0.5,0.42
168,BRK,NYK,2024-11-15,False,False,13,122,124,5,0.38,0.4,0.38
169,BRK,NYK,2024-11-17,False,False,14,104,114,5,0.36,0.4,0.36
170,BRK,CHO,2024-11-19,True,True,15,116,115,6,0.4,0.4,0.4
171,BRK,PHI,2024-11-22,False,False,16,98,113,6,0.38,0.3,0.4
172,BRK,SAC,2024-11-24,False,True,17,108,103,7,0.41,0.4,0.47
173,BRK,GSW,2024-11-25,False,True,18,128,120,8,0.44,0.4,0.47
174,BRK,PHO,2024-11-27,False,True,19,127,117,9,0.47,0.5,0.53
175,BRK,ORL,2024-11-29,True,False,20,100,123,9,0.45,0.5,0.47
176,BRK,ORL,2024-12-01,True,False,21,92,100,9,0.45,0.4,0.4
177,BRK,CHI,2024-12-02,False,False,22,102,128,9,0.45,0.4,0.4
178,BRK,IND,2024-12-04,True,True,23,99,90,10,0.45,0.5,0.4
179,BRK,MIL,2024-12-08,True,False,24,113,118,10,0.45,0.5,0.4
180,BRK,MEM,2024-12-13,False,False,25,119,135,10,0.4,0.4,0.4
181,BRK,CLE,2024-12-16,True,False,26,101,130,10,0.35,0.4,0.33
182,BRK,TOR,2024-12-19,False,True,27,101,94,11,0.4,0.4,0.4
183,BRK,UTA,2024-12-21,True,False,28,94,105,11,0.35,0.3,0.4
